,,1756-EN2TR,PanelView 5510,Studio 5000 View Designer,Studio 5000 Logix Designer,1756-OB32,1756-OF8I,1756-IB32,1756-IF8I,1756-OB16D,1756-IB16,1756-OB16E,1756-IB16D,1783-ETAP2F,1756-L73S
,,series B,series A,,,series A,series A,series B,series A,series A,series A,series A,series A,series A,series B
,,5.028 (Signed),5.002,5.02.00,31.01.01,2.004,3.011,3.006,2.012,3.003,2.006,3.003,2.006,2.002,30.012
Lifecycle,,Active,Multiple Lifecycles Found,Multiple Lifecycles Found,Multiple Lifecycles Found,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active
Compatibility,1756-EN2TR (series B) 5.028 (Signed),,,Compatible,Compatible,,,,,,,,,,
Compatibility,PanelView 5510 (series A) 5.002,,,Compatible,,,,,,,,,,,
Compatibility,Studio 5000 View Designer 5.02.00,Compatible,Compatible,,Compatible,,,,,,,,,,
Compatibility,Studio 5000 Logix Designer 31.01.01,Compatible,,Compatible,,,Compatible,Compatible,Compatible,Compatible,Compatible,,,,
Compatibility,1756-OB32 (series A) 2.004,,,,,,,,,,,,,,
Compatibility,1756-OF8I (series A) 3.011,,,,Compatible,,,,,,,,,,
Compatibility,1756-IB32 (series B) 3.006,,,,Compatible,,,,,,,,,,
Compatibility,1756-IF8I (series A) 2.012 ,,,,Compatible,,,,,,,,,,
Compatibility,1756-OB16D (series A) 3.003,,,,Compatible,,,,,,,,,,
Compatibility,1756-IB16 (series A) 2.006,,,,Compatible,,,,,,,,,,
Compatibility,1756-OB16E (series A) 3.003,,,,,,,,,,,,,,
Compatibility,1756-IB16D (series A) 2.006,,,,,,,,,,,,,,
Compatibility,1783-ETAP2F (series A) 2.002,,,,,,,,,,,,,,
Compatibility,1756-L73S (series B) 30.012,,,,,,,,,,,,,,
Rockwell Services - FactoryTalk Services Platform with FactoryTalk Linx,FTSP 2.10.00 RSLE 5.10.00 (CPR9),,,Not Compatible,Not Compatible,,,,,,,,,,
