,,1756-L83ES,1756-OF8I,1756-OB32,1756-OB16E,1756-OB16D,1756-IF8I,1756-IB32,1756-IB16D,1756-IB16,1756-EN2TR,Studio 5000 Logix Designer,Studio 5000 View Designer,PanelView 5510
,,series B,series A,series A,series A,series A,series A,series B,series A,series A,series C,,,series A
,,32.013,3.012,3.003,3.004,3.003,2.013,3.006,3.004,3.004,11.002 (Signed),32.03.01,6.01.00,6.001
Lifecycle,,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Multiple Lifecycles Found,Multiple Lifecycles Found,Multiple Lifecycles Found
Compatibility,1756-L83ES (series B) 32.013,,,,,,,,,,,,,
Compatibility,1756-OF8I (series A) 3.012,,,,,,,,,,,Compatible,,
Compatibility,1756-OB32 (series A) 3.003,,,,,,,,,,,Compatible,,
Compatibility,1756-OB16E (series A) 3.004,,,,,,,,,,,Compatible,,
Compatibility,1756-OB16D (series A) 3.003,,,,,,,,,,,Compatible,,
Compatibility,1756-IF8I (series A) 2.013,,,,,,,,,,,Compatible,,
Compatibility,1756-IB32 (series B) 3.006,,,,,,,,,,,Compatible,,
Compatibility,1756-IB16D (series A) 3.004,,,,,,,,,,,Compatible,,
Compatibility,1756-IB16 (series A) 3.004,,,,,,,,,,,Compatible,,
Compatibility,1756-EN2TR (series C) 11.002 (Signed),,,,,,,,,,,Compatible,Compatible,
Compatibility,Studio 5000 Logix Designer 32.03.01,,Compatible,Compatible,Compatible,Compatible,Compatible,Compatible,Compatible,Compatible,Compatible,,Compatible,
Compatibility,Studio 5000 View Designer 6.01.00,,,,,,,,,,Compatible,Compatible,,Compatible
Compatibility,PanelView 5510 (series A) 6.001,,,,,,,,,,,,Compatible,
Rockwell Services - FactoryTalk Services Platform with FactoryTalk Linx,FTSP 2.10.00 RSLE 5.10.00 (CPR9),,,,,,,,,,,Not Compatible,Not Compatible,
Rockwell Services - FactoryTalk Services Platform with FactoryTalk Linx,FTSP 2.10.01 RSLE 5.10.01 (CPR9 SR1),,,,,,,,,,,Not Compatible,Not Compatible,
Rockwell Services - FactoryTalk Services Platform with FactoryTalk Linx,"FTSP 2.10.02 RSLE 5.20.00, 5.21.00 (CPR9 SR2)",,,,,,,,,,,Not Compatible,Not Compatible,
Rockwell Services - FactoryTalk Services Platform with FactoryTalk Linx,FTSP 2.30.00 RSLE 5.30.00 (CPR9 SR3),,,,,,,,,,,Not Compatible,Not Compatible,
Rockwell Services - FactoryTalk Services Platform with FactoryTalk Linx,FTSP 2.40.00 RSLE 5.40.00 (CPR9 SR4),,,,,,,,,,,Not Compatible,Not Compatible,
Rockwell Services - FactoryTalk Services Platform with FactoryTalk Linx,FTSP 2.50.00 RSLE 5.50.00 (CPR9 SR5),,,,,,,,,,,Not Compatible,Not Compatible,
Rockwell Services - FactoryTalk Services Platform with FactoryTalk Linx,FTSP 2.51.00 RSLE 5.51.00 (CPR 9 SR5.1),,,,,,,,,,,Not Compatible,Not Compatible,
Rockwell Services - FactoryTalk Services Platform with FactoryTalk Linx,FTSP 2.60.00 RSLE 5.60.00 (CPR 9 SR6),,,,,,,,,,,Not Compatible,Not Compatible,
Rockwell Services - FactoryTalk Services Platform with FactoryTalk Linx,FTSP 2.61.00 RSLE 5.61.00 (CPR 9 SR6.1),,,,,,,,,,,Not Compatible,,
Rockwell Services - FactoryTalk Services Platform with FactoryTalk Linx,FTSP 2.70.00 RSLE 5.70.00 (CPR9 SR7),,,,,,,,,,,Not Compatible,Not Compatible,
Rockwell Services - FactoryTalk Services Platform with FactoryTalk Linx,FTSP 2.71.00 RSLE 5.71.00 (CPR9 SR7.1),,,,,,,,,,,Not Compatible,Not Compatible,
Rockwell Services - FactoryTalk Services Platform with FactoryTalk Linx,FTSP 2.73.00 RSLE 5.73.00 (CPR9 SR7.3),,,,,,,,,,,Not Compatible,Not Compatible,
Rockwell Services - FactoryTalk Services Platform with FactoryTalk Linx,FTSP 2.74.00 RSLE 5.74.00 (CPR9 SR7.4),,,,,,,,,,,Not Compatible,Not Compatible,
Rockwell Services - FactoryTalk Services Platform with FactoryTalk Linx,FTSP 2.80.00 RSLE 5.80.00 (CPR9 SR 8),,,,,,,,,,,Not Compatible,Not Compatible,
Rockwell Services - FactoryTalk Services Platform with FactoryTalk Linx,FTSP 2.81.00 RSLE 5.81.00 (CPR9 SR 8.1),,,,,,,,,,,Not Compatible,Not Compatible,
Rockwell Services - FactoryTalk Services Platform with FactoryTalk Linx,FTSP 2.90.00 RSLE 5.90.00 (CPR9 SR9),,,,,,,,,,,Compatible,Compatible,
Rockwell Services - FactoryTalk Services Platform with FactoryTalk Linx,FTSP 3.00.00 FT Linx 6.00.00 (CPR 9 SR 10),,,,,,,,,,,Compatible,,
Operating Systems - General,Linux,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,Not Compatible,No known issues or dependencies,No known issues or dependencies
Operating Systems - General,Windows 2000,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,Not Compatible,Not Compatible,No known issues or dependencies
Operating Systems - General,Windows NT Workstation 4.0 (NTFS),No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,Not Compatible,Not Compatible,No known issues or dependencies
Operating Systems - Windows 10,"Windows 10 Enterprise, 32-bit, Version 1511",No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies
Operating Systems - Windows 10,"Windows 10 Enterprise, 32-bit, Version 1607",No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies
Operating Systems - Windows 10,"Windows 10 Enterprise, 64-bit, Version 1511",No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies
Operating Systems - Windows 10,"Windows 10 Enterprise, 64-bit, Version 1607",No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,Compatible,Compatible,No known issues or dependencies
Operating Systems - Windows 10,"Windows 10 Enterprise, 64-bit, Version 1703",No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,Compatible,Compatible,No known issues or dependencies
Operating Systems - Windows 10,"Windows 10 Professional, 32-bit, Version 1511",No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies
Operating Systems - Windows 10,"Windows 10 Professional, 32-bit, Version 1607",No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies
Operating Systems - Windows 10,"Windows 10 Professional, 64-bit, Version 1511",No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies
Operating Systems - Windows 10,"Windows 10 Professional, 64-bit, Version 1607",No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,Compatible,Compatible,No known issues or dependencies
Operating Systems - Windows 10,"Windows 10 Professional, 64-bit, Version 1703",No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,Compatible,Compatible,No known issues or dependencies
Operating Systems - Windows 2003,Windows 2003 Standard (32-bit),No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,Not Compatible,Not Compatible,No known issues or dependencies
Operating Systems - Windows 2003,Windows 2003 Standard SP1 (32-bit),No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,Not Compatible,Not Compatible,No known issues or dependencies
Operating Systems - Windows 2003,Windows 2003 Standard SP2 (32-bit),No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,Not Compatible,Not Compatible,No known issues or dependencies
Operating Systems - Windows 2003 R2,Windows 2003 R2 Standard (32-bit),No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,Not Compatible,Not Compatible,No known issues or dependencies
Operating Systems - Windows 2003 R2,Windows 2003 R2 Standard SP2 (32-bit),No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,Not Compatible,No known issues or dependencies,No known issues or dependencies
Operating Systems - Windows 2003 R2,Windows 2003 R2 Standard SP2 (64-bit),No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,Not Compatible,No known issues or dependencies,No known issues or dependencies
Operating Systems - Windows 2003 R2,Windows Server 2003 Standard R2 SP1 [32-bit],No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,Not Compatible,No known issues or dependencies,No known issues or dependencies
Operating Systems - Windows 2008,Windows Server 2008 Standard (32-bit),No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,Not Compatible,Not Compatible,No known issues or dependencies
Operating Systems - Windows 2008,Windows Server 2008 Standard SP1 (32-bit),No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,Not Compatible,No known issues or dependencies,No known issues or dependencies
Operating Systems - Windows 2008,Windows Server 2008 Standard SP1 [64-bit],No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,Not Compatible,No known issues or dependencies,No known issues or dependencies
Operating Systems - Windows 2008,Windows Server 2008 Standard SP2 (32-bit),No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,No known issues or dependencies,Not Compatible,No known issues or dependencies,No known issues or dependencies
